name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
Art Foundation;Masakï Paris;Парфюмерная вода;4,3;11 оценок;2011;suite;;fruit, floral, powdery;abrikos, osmantus;powdery-notes, ris;moloko, musk, powdery-notes, sandal;moloko, powdery-notes, ris;https://aromo.ru/fragrance/masaki-matsushima-art-foundation-perfume-water-eau-de-parfum-41589/
Mon Paris Dazzling Lights Collector's Edition;Yves Saint Laurent;Парфюмерная вода;4,3;11 оценок;2017;suite;olivier-cresp, harry-fremont, dora-baghriche-arnaud;chypre, fruit;orange, bergamot, grusha, calone, klubnika, raspberry, mandarin;apelsinovyj-cvet-flerdoranzh, durman, peony, jasmine, zhasmin-sambak;ambroxan, kedr, moss, musk, pachuli, vanil;;https://aromo.ru/fragrance/yves-saint-laurent-mon-paris-dazzling-lights-collector_s-edition-perfume-water-eau-de-parfum-788875/
Infusion d'Oeillet;Prada;Парфюмерная вода;4,3;11 оценок;2015;suite;daniela-roche-andrier;east, aromatic;;gvozdika, mandarin, pachuli, sandal, styrax;;gvozdika, mandarin, pachuli, sandal, styrax;https://aromo.ru/fragrance/prada-infusion-d_oeillet-perfume-water-eau-de-parfum-64113/
Izia Limited Edition 2018;Sisley;Парфюмерная вода;4,3;11 оценок;2018;suite;;floral, aldehyde;aldehydes, bergamot, pink-pepper;floral-notes, rose;ambra, kedr, musk;bergamot, aldehydes, ambra, rose, floral-notes, kedr, pink-pepper;https://aromo.ru/fragrance/sisley-izia-limited-edition-2018-perfume-water-eau-de-parfum-1072375/
Scent of Kiss My Heart;Armand Basi;Парфюмерная вода;4,3;11 оценок;2020;suite;amandine-marie;fruit, floral;apelsinovyj-cvet-flerdoranzh, jabloko-krasnoje, mandarin, peach;tonka-bean, kokos, tiare, jasmine;praline, sandal, vanil;praline, kokos, vanil, tonka-bean, jabloko-krasnoje, peach, sandal, tiare;https://aromo.ru/fragrance/armand-basi-scent-of-kiss-my-heart-perfume-water-eau-de-parfum-2290647/
A Kiss from Violet;Gucci;Масляные духи;4,3;11 оценок;2019;suite;alberto-morillas, alessandro-michele;musk, floral;;violet, iris, musk;;violet, iris, musk;https://aromo.ru/fragrance/gucci-a-kiss-from-violet-perfume-oil-perfume-oil-1720123/
Eau de Fleurs Neroli;Chloé;Туалетная вода;4,3;11 оценок;2010;suite;alienor-massenet;floral;orange, mandarin, rozmarin;clary-sage, neroli, peony;ambra, tonka-bean, musk;;https://aromo.ru/fragrance/chloe-eau-de-fleurs-neroli-toilet-water-eau-de-toilette-54111/
L'Interdit Édition Millésime Eau de Parfum;Givenchy;Парфюмерная вода;4,3;11 оценок;2021;suite;;floral;bitter-orange, ginger;apelsinovyj-cvet-flerdoranzh, neroli, tuberoza;white-musk, pachuli, vetiver, almond-milk;apelsinovyj-cvet-flerdoranzh, tuberoza, bitter-orange, grusha, neroli, vanil, jasmine, almond-milk;https://aromo.ru/fragrance/linterdit-edition-millesime-eau-de-parfum/
Opium pour Femme Poesie de Chine;Yves Saint Laurent;Туалетная вода;4,3;11 оценок;2008;suite;;east;ginger, mandarin, tangerine;magnolija, jasmine;myrrh, musk, pachuli, vanil;;https://aromo.ru/fragrance/yves-saint-laurent-opium-pour-femme-poesie-de-chine-toilet-water-eau-de-toilette-78512/
Jaipur Bracelet Limited Edition;Boucheron;Туалетная вода;4,3;11 оценок;2013;suite;carlos-benaim, veronique-nyberg;fruit, floral;krasnaja-smorodina, raspberry, mandarin;hyacinth, lichi, rose;iris, cashmeran;;https://aromo.ru/fragrance/boucheron-jaipur-bracelet-limited-edition-toilet-water-eau-de-toilette-65024/
Si Lolita Eau de Toilette;Lolita Lempicka;Туалетная вода;4,3;11 оценок;2011;suite;christine-nagel, josiane-maryse-pividal;floral;klukva, ptitgrejn-list-citrusovyh, pink-pepper;bojaryshnik, dushistyj-goroshek, magnolija;ambra, iris, musk;iris, klukva, ptitgrejn-list-citrusovyh, pink-pepper;https://aromo.ru/fragrance/lolita-lempicka-si-lolita-eau-de-toilette-toilet-water-eau-de-toilette-88136/
London;Tom Ford;Парфюмерная вода;4,3;11 оценок;2013;niche;tom-ford;spicy, wood;coffee, coriander, saffron, cumin;geranium, labdanum, ladan, jasmine;birch, musk;coriander, saffron, cumin;https://aromo.ru/fragrance/tom-ford-london-perfume-water-eau-de-parfum-82613/
