name;brand;type;rating_value;rating_count;year;segment;perfumers;families;top_notes;middle_notes;bottom_notes;users_notes;url
KETU BYTWO & YUDASHKIN;BYTWO;Парфюмерная вода;5,0;7 оценок;;;[];['wood', 'floral', 'aromatic', 'balsamic'];[];['dagil', 'geranium', 'cardamom', 'ladan', 'lavender', 'musk', 'sandal', 'saffron', 'vanil'];[];[];https://aromo.ru/fragrance/bytwo-ketu-perfume-water-eau-de-parfum-2419862/
`ilm;Kemi Blending Magic;Парфюмерная вода;5,0;7 оценок;2014;niche;[];['wood'];[];['oud'];[];[];https://aromo.ru/fragrance/kemi-blending-magic-ilm-63553/
Rio de Janeiro Passion Fruit;Monotheme Fine Fragrances Venezia;Туалетная вода;5,0;6 оценок;2012;mass-market;[];['fruit', 'floral'];[];['floral-notes', 'drevesnyje-noty', 'marakuja', 'musk', 'tropicheskije-frukty', 'water-lily'];[];[];https://aromo.ru/fragrance/monotheme-fine-fragrances-venezia-rio-de-janeiro-passion-fruit-toilet-water-eau-de-toilette-84422/
Madeleine;Brocard;Туалетная вода;5,0;6 оценок;2022;mass-market;['bernard-ellena'];['floral', 'gourmet'];['cvetok-mindala', 'jasmine', 'lily'];['cocoa', 'toluansky-balm', 'vanil'];['musk'];['cocoa', 'vanil', 'jasmine', 'musk', 'lily', 'cvetok-mindala', 'toluansky-balm'];https://aromo.ru/fragrance/brocard-madeleine-toilet-water-eau-de-toilette-2414166/
Fruit Wind;Dzintars;Туалетная вода;5,0;4 оценки;;;[];['fruit', 'floral'];['cvetok-kakao', 'klukva', 'mandarin'];['sandal', 'vanil', 'jasmine'];['ambra', 'benzoin', 'pachuli'];[];https://aromo.ru/fragrance/dzintars-fruit-wind-toilet-water-eau-de-toilette-59356/
Mémoire de Roses;L'Artisan Parfumeur;Парфюмерная вода;5,0;4 оценки;;;[];['floral'];[];['bergamot', 'mandarin', 'musk', 'rose'];[];['rose', 'bergamot', 'mandarin', 'musk'];https://aromo.ru/fragrance/lartisan-parfumeur-memoire-de-roses-perfume-water-eau-de-parfum-2406435/
Cereja e Avelã;Natura;;5,0;4 оценки;;;[];['sweet', 'fruit', 'floral'];['granat', 'klukva', 'pink-pepper', 'vishna'];['lily-of-the-valley', 'lesnoj-oreh', 'peony'];['ambra', 'musk', 'sandal', 'vanil'];[];https://aromo.ru/fragrance/natura-cereja-e-avel-572203/
Peach Funky;Ulric de Varens;Парфюмерная вода;5,0;4 оценки;;;[];['east'];['bergamot', 'chernika', 'mandarin'];['gardenija', 'jasmine'];['cashmeran', 'vanil'];['chernika', 'gardenija', 'mandarin', 'vanil'];https://aromo.ru/fragrance/ulric-de-varens-peach-funky-perfume-water-eau-de-parfum-80597/
M Ultra Pink;Mariah Carey;Парфюмерная вода;5,0;4 оценки;;;[];['floral'];['black-currant', 'lesnyje-jagody', 'morskije-noty'];['rozovyy-pion', 'tiare', 'vishnevyj-cvet'];['ambra', 'white-musk', 'drevesnyje-noty'];['black-currant', 'lesnyje-jagody', 'musk', 'peony'];https://aromo.ru/fragrance/mariah-carey-m-ultra-pink-71415/
'Ume;Saffron James;Парфюмерная вода;5,0;4 оценки;;;[];['floral', 'chypre'];[];['dubovyj-moh', 'gardenija', 'ginger', 'yuzu', 'water-lily'];[];[];https://aromo.ru/fragrance/saffron-james-ume-94171/
Beleaf;The Body Shop;Туалетная вода;5,0;4 оценки;;;[];['fruit', 'floral'];['bergamot', 'black-currant', 'pink-pepper'];['inzhir', 'lily-of-the-valley', 'rose'];['musk', 'sandal'];[];https://aromo.ru/fragrance/the-body-shop-beleaf-toilet-water-eau-de-toilette-43375/
Iris & Legni 655 Firenze;Parfums Bombay 1950;Парфюмерная вода;5,0;4 оценки;;;[];['floral', 'wood'];[];['violet', 'galbanum', 'geliotrop', 'iris', 'kedr', 'lily-of-the-valley', 'neroli'];[];[];https://aromo.ru/fragrance/parfums-bombay-1950-firenze_bombay_-iris-655-firenze-57558/
Nastroenie Abrau;Selection Excellence;Парфюмерная вода;5,0;4 оценки;;premium;[];['fern', 'citrus'];['bergamot', 'bitter-orange'];['grapefruit'];['galbanum', 'sandal', 'vetiver'];[];https://aromo.ru/fragrance/selection-excellence-nastroenie-abrau-383379/
Tropical Flor;Agatha Ruiz de la Prada;Туалетная вода;5,0;4 оценки;2014;premium;['julie-masse'];['fruit', 'floral'];['black-currant', 'grusha', 'klubnika', 'mango'];['frangipani', 'frezija'];['ambra', 'white-musk', 'pachuli'];[];https://aromo.ru/fragrance/agatha-ruiz-de-la-prada-tropical-flor-93581/
Impression;Eudora;Парфюмерная вода;5,0;4 оценки;2017;mass-market;[];['amber', 'wood'];[];['ambra', 'balsamic-notes', 'white-pepper', 'kedr', 'pachuli'];[];[];https://aromo.ru/fragrance/eudora-impression-539433/
Lyra Pour Femme;Khalis;Парфюмерная вода;5,0;4 оценки;;mass-market;[];['fruit', 'floral'];['krasnaja-smorodina', 'lichi', 'peony'];['musk', 'jasmine'];['raspberry', 'tropicheskije-frukty'];[];https://aromo.ru/fragrance/halis-lyra-_red-640569/
Pink Warm & Cozy Vacay;Victoria's Secret;Ароматная дымка;5,0;4 оценки;2017;suite;[];['fruit'];[];['klubnika', 'vanil'];[];[];https://aromo.ru/fragrance/victorias-secret-pink-warm-_-cozy-vacay-fragrant-haze-fragrance-mist-411312/
8 Without Limits;Abercrombie & Fitch;Духи / Экстракт;5,0;4 оценки;;suite;[];['fruit'];[];['abrikos', 'mandarin', 'vanil'];[];[];https://aromo.ru/fragrance/abercrombie--fitch-8-without-limits-perfume-extract-parfum-extrait-de-parfum-899079/
Les Merveilleuses Eau de Toilette;Ladurée;Туалетная вода;5,0;4 оценки;2019;suite;[];['fruit', 'floral'];['citruses', 'bitter-orange', 'iris', 'mandarin'];['black-currant', 'violet', 'iris', 'raspberry', 'jasmine'];['iris', 'musk', 'zamsha'];['black-currant', 'violet', 'raspberry', 'mandarin', 'jasmine'];https://aromo.ru/fragrance/ladur-e-les-merveilleuses-eau-de-toilette-toilet-water-eau-de-toilette-1677279/
Roma Uomo Green Swing;Laura Biagiotti;Туалетная вода;5,0;4 оценки;2021;suite;['daphne-bugey'];['fern'];['ajva', 'bergamot', 'cardamom'];['tonka-bean', 'geranium', 'list-fialki'];['cashmeran', 'kedr', 'vetiver'];['ajva', 'list-fialki', 'bergamot', 'tonka-bean', 'cardamom', 'cashmeran', 'vetiver'];https://aromo.ru/fragrance/laura-biagiotti-roma-uomo-green-swing-toilet-water-eau-de-toilette-2394453/
Puro Intense;Nejma;Парфюмерная вода;5,0;4 оценки;2010;niche;[];['fern', 'spicy'];['lime', 'mint', 'rom'];['cocoa', 'coffee', 'cinnamon'];['karamel', 'mahagonys', 'tabak'];[];https://aromo.ru/fragrance/nejma-puro-intense-83128/
The Aeronauts by House of Sillage;House Of Sillage;Парфюмерная вода;5,0;4 оценки;2020;niche;[];['fern', 'fruit'];['ajva', 'dyna', 'lavender', 'lemon'];['ambretta', 'dyna', 'geranium', 'spruce'];['guajak', 'labdanum', 'pachuli', 'vetiver'];[];https://aromo.ru/fragrance/house-of-sillage-the-aeronauts-by-house-of-sillage-perfume-water-eau-de-parfum-2287573/
Baby Michelle;Zermat;;5,0;4 оценки;;;[];['sweet', 'floral', 'powdery'];[];['floral-notes', 'gourmand-notes', 'powdery-notes'];[];[];https://aromo.ru/fragrance/zermat-baby-michelle-873337/
Колодец Дракона;Odoratika;Духи / Экстракт;5,0;4 оценки;2018;artisanal-perfumery;[];['fern', 'gourmet'];[];['belyj-grib', 'chaj', 'champaka', 'lesnoj-oreh', 'mod', 'jasmine'];[];['chaj', 'champaka', 'lesnoj-oreh', 'jasmine'];https://aromo.ru/fragrance/odoratika-kolodets-drakona-perfume-extract-parfum-extrait-de-parfum-1642897/
Lavender;Village;Туалетная вода;5,0;3 оценки;;;[];['fern'];[];['lavender', 'mod', 'seno'];[];[];https://aromo.ru/fragrance/village-lavender-68066/
Heaven Can Wait;Editions de Parfums Frédéric Malle;Парфюмерная вода;5,0;3 оценки;;;[];['floral'];['iris'];['magnolija'];['musk'];['iris', 'musk'];https://aromo.ru/fragrance/frederic-malle-heaven-can-wait-perfume-water-eau-de-parfum-2426611/
Amore Caffe;Mancera;Парфюмерная вода;5,0;3 оценки;;;[];['gourmet'];['amaretto', 'coffee'];['sugar-cookies', 'vanilla-cream'];['korichnevyj-sahar', 'ambergris', 'vanil'];['coffee', 'korichnevyj-sahar', 'vanil', 'vanilla-cream', 'amaretto', 'sugar-cookies', 'ambergris'];https://aromo.ru/fragrance/mancera-amore-caffe-perfume-water-eau-de-parfum-2432056/
Rose Jasmin;L`Occitane en Provence;Туалетная вода;5,0;3 оценки;;;[];['musk', 'wood', 'floral'];[];['white-musk', 'drevesnyje-noty', 'lemon', 'rose', 'pink-pepper', 'jasmine'];[];['lemon', 'rose', 'pink-pepper'];https://aromo.ru/fragrance/loccitane-en-provence-rose-jasmin-toilet-water-eau-de-toilette-2400306/
Belle De Paris;Fragonard;Парфюмерная вода;5,0;3 оценки;;;[];['floral', 'powdery'];['neroli', 'pepper', 'green-mandarin'];['violet', 'iris', 'ladan'];['white-cedar', 'musk'];[];https://aromo.ru/fragrance/fragonard-belle-de-paris-perfume-water-eau-de-parfum-2400386/
Fuyu;Tom Daxon;Парфюмерная вода;5,0;3 оценки;;;[];['fruit', 'floral'];['belyy-persik'];['iris', 'jasmine'];['kedr', 'musk'];[];https://aromo.ru/fragrance/tom-daxon-fuyu-perfume-water-eau-de-parfum-2254981/
Mx.;Eris Parfums;;5,0;3 оценки;;;[];['musk', 'spicy', 'wood'];['ginger', 'ladan', 'pepper', 'saffron'];['kedr', 'sandal'];['benzoin', 'birch', 'cocoa', 'kastoreum', 'pachuli', 'vetiver'];[];https://aromo.ru/fragrance/eris-parfums-mx-601333/
Delice des Fruits;L`Occitane en Provence;Туалетная вода;5,0;3 оценки;;;[];['citrus'];[];['clementine', 'lemon', 'sahar'];[];[];https://aromo.ru/fragrance/loccitane-en-provence-delice-des-fruits-toilet-water-eau-de-toilette-51807/
The Bergamote / Bergamot Tea;L`Occitane en Provence;Туалетная вода;5,0;3 оценки;;;[];['fern', 'citrus'];[];['bergamot', 'chaj', 'grapefruit', 'cardamom', 'mandarin'];[];[];https://aromo.ru/fragrance/loccitane-en-provence-the-bergamote-_-bergamot-tea-toilet-water-eau-de-toilette-92093/
Bali Lime Papaya;Pacifica;Духи / Экстракт;5,0;3 оценки;;;[];['fruit', 'floral'];[];['lime', 'linden-blossom', 'papaja'];[];[];https://aromo.ru/fragrance/pacifica-bali-lime-papaya-42730/
Love Berry White;S. Cute;Парфюмерная вода;5,0;3 оценки;;;[];['wood', 'floral', 'musk'];['jabloko', 'kedr', 'kolokolchik'];['bamboo', 'rose', 'jasmine'];['ambra', 'cypress', 'musk'];[];https://aromo.ru/fragrance/s-cute-love-berry-white-perfume-water-eau-de-parfum-70657/
Habat Al Oud;Asgharali;Парфюмерная вода;5,0;3 оценки;;;[];['east'];['raspberry', 'saffron'];['rose', 'spices', 'oud', 'vanil'];['ambra', 'musk', 'pachuli', 'sandal'];[];https://aromo.ru/fragrance/asgharali-habat-al-oud-378696/
Believe In You;Kiotis;Парфюмерная вода;5,0;3 оценки;;;[];['floral'];[];['orchid', 'sandal', 'zelenoje-jabloko', 'jasmine'];[];[];https://aromo.ru/fragrance/kiotis-believe-in-you-perfume-water-eau-de-parfum-43390/
Vanille Pamplemousse;Les Senteurs Gourmandes;Парфюмерная вода;5,0;3 оценки;2011;mass-market;[];['sweet', 'citrus'];[];['grapefruit', 'vanil'];[];[];https://aromo.ru/fragrance/les-senteurs-gourmandes-vanille-pamplemousse-385700/
Devos Magnetic Seduction;L'Bel;;5,0;3 оценки;2016;mass-market;[];['wood'];[];['kedr', 'teak-wood', 'vetiver'];[];[];https://aromo.ru/fragrance/lbel-devos-magnetic-seduction-52165/
1200°C;L'Bel;;5,0;3 оценки;2011;mass-market;[];['spicy', 'east'];['citruses', 'mozhzhevelnik-plody'];['brandy', 'cinnamon', 'pine'];['ambra'];[];https://aromo.ru/fragrance/lbel-1200_c-549425/
Kalos Impact;Esika;;5,0;3 оценки;2015;mass-market;[];['fern'];[];['ambra', 'anise', 'white-cedar', 'bergamot', 'dubovyj-moh', 'grapefruit', 'cardamom', 'ladan', 'list-berezy', 'list-fialki', 'mandarin'];[];[];https://aromo.ru/fragrance/esika-kalos-impact-66269/
Bergamot & Patchouli;The Body Shop;Масляные духи;5,0;3 оценки;;mass-market;[];['wood', 'floral'];[];['ambra', 'bergamot', 'hyacinth', 'mimosa', 'pachuli', 'jasmine'];[];[];https://aromo.ru/fragrance/code-7884-bergamot-a-patchouli/
Fantasia Forever;Anna Sui;Парфюмерная вода;5,0;3 оценки;2020;suite;['christine-hassan'];['floral'];['bergamot', 'jablonevyj-cvet', 'kumquat'];['immortelle', 'frezija', 'lotos', 'rose'];['ambra', 'musk', 'white-woods'];['jablonevyj-cvet', 'lotos', 'rose', 'bergamot', 'frezija', 'kumquat'];https://aromo.ru/fragrance/fantasia-forever/
Eros Parfum;Versace;Духи / Экстракт;5,0;3 оценки;2021;suite;[];['fern', 'wood'];['elemi', 'lemon', 'mandarin', 'pepper'];['geranium', 'lavender', 'sage'];['benzoin', 'cashmeran', 'pachuli', 'vanil', 'vetiver'];[];https://aromo.ru/fragrance/versace-eros-parfum-perfume-extract-parfum-extrait-de-parfum-2399964/
Be Delicious Guava Goddess;Donna Karan;Туалетная вода;5,0;3 оценки;2022;suite;[];['fruit', 'floral'];['mandarin'];['floral-notes', 'guava'];['sandal'];['guava', 'sandal', 'floral-notes'];https://aromo.ru/fragrance/donna-karan-be-delicious-guava-goddess-toilet-water-eau-de-toilette-2407019/
Black Opium Over Red;Yves Saint Laurent;Парфюмерная вода;5,0;3 оценки;2023;suite;[];['fruit', 'floral', 'gourmet'];['mandarin', 'vishna'];['apelsinovyj-cvet-flerdoranzh', 'jasmine', 'chernyy-chay'];['coffee', 'pachuli', 'madagascan-vanilla'];[];https://aromo.ru/fragrance/yves-saint-laurent-black-opium-over-red-perfume-water-eau-de-parfum-2434541/
Island Sun;Victoria's Secret;Ароматная дымка;5,0;3 оценки;2017;suite;[];['fruit'];[];['karambola', 'coconut-water'];[];[];https://aromo.ru/fragrance/victorias-secret-island-sun-fragrant-haze-fragrance-mist-2351620/
Yes I Am Delicious;Cacharel;Парфюмерная вода;5,0;3 оценки;2022;suite;[];['floral', 'gourmet'];['cocoa', 'cardamom', 'mandarin'];['apelsinovyj-cvet-flerdoranzh', 'jasmine'];['lesnoj-oreh', 'sandal', 'shokolad'];['apelsinovyj-cvet-flerdoranzh', 'cocoa', 'lesnoj-oreh', 'shokolad', 'jasmine'];https://aromo.ru/fragrance/cacharel-yes-i-am-delicious-perfume-water-eau-de-parfum-2406443/
Rose Calisson;L`Occitane en Provence;Туалетная вода;5,0;3 оценки;2020;suite;[];['floral'];['mandarin', 'nektarin'];['apelsinovyj-cvet-flerdoranzh', 'magnolija', 'damask-rose-rosa-damascena', 'may-rose-rosa-centifolia'];['lorenox', 'virginia-cedar', 'calisson'];[];https://aromo.ru/fragrance/rose-calisson/
Baciami;Bvlgari;Парфюмерная вода;5,0;3 оценки;2022;suite;['jacques-cavallier'];['floral'];[];['gardenija', 'vanil'];[];['gardenija', 'vanil'];https://aromo.ru/fragrance/bvlgari-baciami-perfume-water-eau-de-parfum-2406194/
Sirenis;Les Liquides Imaginaires;Парфюмерная вода;5,0;3 оценки;2022;niche;['sonia-constant', 'david-frossard', 'philippe-di-meo'];['spicy', 'wood', 'floral', 'sea'];['bergamot', 'cardamom', 'morskije-noty', 'clary-sage'];['floral-notes', 'rakitnik', 'sandal'];['ambra', 'moss', 'musk', 'pachuli', 'vetiver'];['bergamot', 'floral-notes', 'cardamom', 'clary-sage'];https://aromo.ru/fragrance/les-liquides-imaginaires-sirenis-perfume-water-eau-de-parfum-2409102/
Reliqvia;Filippo Sorcinelli;Духи / Экстракт;5,0;3 оценки;2021;niche;['filippo-sorcinelli'];['spicy', 'wood', 'balsamic'];['orange', 'black-currant', 'smoke', 'elemi', 'nutmeg', 'tabak'];['amyris', 'apelsinovyj-cvet-flerdoranzh', 'cloves', 'pistacia-lentiscus', 'pine'];['guajak', 'cashmeran', 'ladan', 'pachuli', 'sandal'];['smoke', 'amyris', 'apelsinovyj-cvet-flerdoranzh', 'black-currant', 'guajak', 'cashmeran', 'pistacia-lentiscus', 'sandal', 'pine'];https://aromo.ru/fragrance/filippo-sorcinelli-reliqvia-perfume-extract-parfum-extrait-de-parfum-2399839/
Vicious Cacao;Maison Tahité;Парфюмерная вода;5,0;3 оценки;2021;niche;['luca-maffei'];['floral', 'fruit', 'sweet'];['raspberry', 'rom', 'pink-pepper'];['ambra', 'cocoa', 'narciss', 'jasmine'];['benzoin', 'dubovyj-moh', 'karamel', 'sandal', 'saffron', 'salt'];['cocoa', 'karamel', 'raspberry', 'rom', 'pink-pepper', 'salt', 'jasmine'];https://aromo.ru/fragrance/maison-tahit-vicious-cacao-perfume-water-eau-de-parfum-2400189/
Limone;Laboratorio Olfattivo;Одеколон;5,0;3 оценки;2021;niche;['jean-claude-ellena'];['citrus'];[];['ginger', 'lemon', 'list-apelsina', 'musk'];[];[];https://aromo.ru/fragrance/laboratorio-olfattivo-limone-cologne-eau-de-cologne-2394107/
Légendes du Cèdre;L'Artisan Parfumeur;Парфюмерная вода;5,0;3 оценки;2021;niche;['christophe-raynaud'];['spicy', 'wood'];[];['kedr', 'labdanum', 'nutmeg', 'pachuli', 'saffron'];[];['kedr', 'nutmeg', 'pachuli'];https://aromo.ru/fragrance/lartisan-parfumeur-legendes-du-cedre-perfume-water-eau-de-parfum-2396258/
Vincher Rouge;Odetu;Туалетная вода;5,0;3 оценки;2020;niche;[];['gourmet'];['jezhevika', 'klubnika', 'raspberry'];['cvetok-slivy', 'red-wine', 'vishna'];['ambra', 'drevesnyje-noty', 'musk', 'suhofrukty'];['jezhevika', 'red-wine', 'raspberry', 'vishna', 'klubnika', 'suhofrukty'];https://aromo.ru/fragrance/vincher-rouge/
Orchid Vanille;Illume;;5,0;3 оценки;;natural-perfumes;[];['floral'];[];['apelsinovyj-cvet-flerdoranzh', 'black-currant', 'praline', 'jasmine'];[];[];https://aromo.ru/fragrance/illume-orchid-vanille-819075/
Kim - Emerald Diamond;Kim Kardashian / KKW Fragrance;Парфюмерная вода;5,0;3 оценки;2020;aroma-celebrity;[];['green', 'floral'];['orchid', 'green-mandarin', 'green-notes'];['cvetok-grushi', 'list-fialki', 'strastocvet'];['apelsinovyj-cvet-flerdoranzh', 'benzoin', 'hinoki'];[];https://aromo.ru/fragrance/kim-emerald-diamond/
Spezie & Patchouli;Speziali Fiorentini;Духи / Экстракт;5,0;3 оценки;;;[];['east', 'spicy'];[];['pachuli', 'spices'];[];[];https://aromo.ru/fragrance/speziali-fiorentini-spezie-_-patchouli-89554/
Japonica - Creme de Peche;Voluspa;;5,0;3 оценки;;;[];['fruit', 'sweet'];[];['nektarin', 'peach', 'vanil'];[];[];https://aromo.ru/fragrance/voluspa-japonica-_-creme-de-peche-65131/
Japonica - Eden & Pear;Voluspa;;5,0;3 оценки;;;[];['fruit', 'green'];[];['galbanum', 'grusha', 'lemon-verbena'];[];[];https://aromo.ru/fragrance/voluspa-japonica-_-eden-_-pear-65132/
Fleur De Mai;Siordia Parfums;Парфюмерная вода;5,0;3 оценки;2017;artisanal-perfumery;[];['green', 'floral'];[];['citruses', 'lily-of-the-valley', 'siren', 'trava'];[];['citruses', 'lily-of-the-valley', 'trava'];https://aromo.ru/fragrance/siordia-parfums-fleur-de-mai-perfume-extract-parfum-extrait-de-parfum-662205/
Pineapple Sorbet;Edgardio Chilini;Духи / Экстракт;5,0;3 оценки;2019;artisanal-perfumery;[];['sweet', 'fern', 'citrus', 'spicy', 'wood', 'fruit', 'aromatic', 'balsamic'];['black-currant', 'lime', 'mandarin', 'rozmarin'];['ananas', 'violet', 'ilang-ilang', 'iris', 'lily-of-the-valley', 'rozmarin', 'rose', 'jasmine', 'honeysuckle'];['ambra', 'benzoin', 'tonka-bean', 'dubovyj-moh', 'kedr', 'musk', 'pachuli', 'sandal', 'vanil'];['ananas', 'benzoin', 'tonka-bean', 'black-currant', 'dubovyj-moh', 'lime', 'lily-of-the-valley', 'mandarin', 'pachuli', 'rozmarin', 'rose'];https://aromo.ru/fragrance/edgardio-chilini-pineapple-sorbet-perfume-water-eau-de-parfum-2290895/
Monarda Obscura;Acidica Perfumes;Духи / Экстракт;5,0;3 оценки;2020;artisanal-perfumery;[];['musk', 'fruit', 'floral'];[];['krasnaja-smorodina', 'musk', 'rose', 'trava', 'zemlanika', 'rose-hip', 'monarda'];[];['musk', 'rose', 'trava'];https://aromo.ru/fragrance/acidica-perfumes-monarda-obscura-perfume-extract-parfum-extrait-de-parfum-2352938/
Sensual rain (Чувственный дождь);Kamila Robinson;;5,0;3 оценки;2019;artisanal-perfumery;[];[];[];[];[];[];https://aromo.ru/fragrance/code-5336-sensual-rain-chuvstvennyy-dozhd/
Bergamot Sorbet;Edgardio Chilini;Духи / Экстракт;5,0;3 оценки;2019;artisanal-perfumery;[];['citrus', 'spicy', 'wood', 'aromatic'];['white-pepper', 'bergamot', 'ptitgrejn-list-citrusovyh'];['ginger', 'cardamom', 'jasmine'];['cambodian-oud', 'kedr', 'musk', 'sandal'];['white-pepper', 'bergamot', 'ginger', 'sandal', 'cardamom', 'kedr', 'ptitgrejn-list-citrusovyh'];https://aromo.ru/fragrance/edgardio-chilini-bergamot-sorbet-perfume-water-eau-de-parfum-2290827/
Gardénia;Reflexion;Парфюмерная вода;5,0;3 оценки;;artisanal-perfumery;[];['floral'];[];['white-flowers', 'gardenija', 'grusha', 'musk'];[];['white-flowers', 'gardenija', 'grusha', 'musk'];https://aromo.ru/fragrance/reflexion-gard_nia-perfume-water-eau-de-parfum-872795/
Tropic;Next;Туалетная вода;5,0;2 оценки;;;[];['fern', 'aromatic'];[];['aromaticheskie-noty', 'drevesnyje-noty', 'fuzhernye-noty', 'spices', 'voda'];[];[];https://aromo.ru/fragrance/next-tropic-740877/
Vanilla Flower;Deborah Milano;Туалетная вода;5,0;2 оценки;;;[];['fruit', 'floral'];['bergamot', 'brusnika', 'grapefruit', 'peach'];['ananas', 'geranium', 'rose', 'vanilnaja-orkhideja'];['ambra', 'white-musk', 'kedr', 'vanil'];[];https://aromo.ru/fragrance/deborah-vanilla-flower-94853/
The Green Tea;Innisfree;Туалетная вода;5,0;2 оценки;;;[];['citrus', 'green', 'wood'];['bergamot', 'yuzu', 'lemon', 'mandarin'];['apelsinovyj-cvet-flerdoranzh', 'elemi', 'bitter-orange', 'osmantus', 'ptitgrejn-list-citrusovyh'];['tonka-bean', 'galbanum', 'kedr', 'musk'];[];https://aromo.ru/fragrance/innisfree-the-green-tea-toilet-water-eau-de-toilette-702381/
Lime Cassis;Jardin d`Amour;Туалетная вода;5,0;2 оценки;;;[];['fern', 'fruit'];['bergamot', 'lime'];['lily-of-the-valley', 'list-i-buton-chernoj-smorodiny', 'jasmine'];['musk'];[];https://aromo.ru/fragrance/jardin-damour-lime-cassis-69967/
Riso;Tuttotondo;Туалетная вода;5,0;2 оценки;;;[];['east'];[];['ambra', 'musk', 'ris', 'vanil'];[];[];https://aromo.ru/fragrance/tuttotondo-riso-677147/
Clásico;Emper;Туалетная вода;5,0;2 оценки;;;[];['fern', 'citrus'];['citruses', 'kolokolchik', 'mint'];['guajak', 'iris', 'sandal'];['ambra', 'musk'];[];https://aromo.ru/fragrance/emper-cl_sico-toilet-water-eau-de-toilette-1022355/
Lait de Chevre;Dans un Jardin;Туалетная вода;5,0;2 оценки;;;[];['floral'];['veresk'];['bojaryshnik'];['pachuli'];[];https://aromo.ru/fragrance/dans-un-jardin-n-lait-de-chevre-toilet-water-eau-de-toilette-67577/
Pomelia;Nature's;Туалетная вода;5,0;2 оценки;;;[];['floral'];[];['bergamot', 'frangipani', 'frezija', 'cashmeran', 'magnolija', 'raspberry', 'moss', 'neroli', 'vanil'];[];[];https://aromo.ru/fragrance/natures-pomelia-572645/
Chale Sport Homme;Alain Aregon;Туалетная вода;5,0;2 оценки;;;[];['wood'];['aldehydes', 'bergamot', 'lemon'];['elemi', 'pink-pepper'];['ambra', 'drevesnyje-noty', 'ladan'];['ginger', 'lemon', 'resins', 'lemon-verbena'];https://aromo.ru/fragrance/alain-aregon-chale-sport-homme-806189/
TRUE;Faith Hill;Туалетная вода;5,0;2 оценки;;;[];['floral'];['yuzu', 'mimosa'];['gardenija', 'lily'];['drevesnyje-noty', 'musk'];[];https://aromo.ru/fragrance/faith-hill-true-93642/
Biografia for man;Natura;Туалетная вода;5,0;2 оценки;;;[];['fern', 'wood'];['bergamot', 'citruses', 'galbanum', 'geranium', 'grapefruit', 'lemon', 'lemon-verbena'];['lily-of-the-valley', 'lavender', 'nutmeg'];['ambra', 'white-cedar', 'dubovyj-moh', 'musk', 'pachuli', 'sandal', 'vetiver'];[];https://aromo.ru/fragrance/natura-biografia-for-man-43920/
Stay True;Abercrombie & Fitch;Туалетная вода;5,0;2 оценки;;;[];['fruit'];[];['granat', 'marakuja', 'praline'];[];[];https://aromo.ru/fragrance/abercrombie--fitch-stay-true-toilet-water-eau-de-toilette-90020/
Night Of Nordlys;Discovery Perfumes;Туалетная вода;5,0;2 оценки;2019;;[];['wood'];['cardamom', 'neroli', 'snow', 'trava'];['cvetok-mindala', 'klukva', 'lesnoj-oreh'];['tonka-bean', 'dubovyj-moh', 'vetiver'];[];https://aromo.ru/fragrance/discovery-perfumes-night-of-nordlys-toilet-water-eau-de-toilette-2073029/
Lotus;Alicia Milor;Туалетная вода;5,0;2 оценки;2005;;[];['floral', 'green'];[];['lotos'];[];['lotos'];https://aromo.ru/fragrance/alicia-milor-lotus-962963/
Old Spice Classic;Old Spice;Туалетная вода;5,0;2 оценки;1990;;[];['floral', 'citrus', 'wood'];['aldehydes', 'orange', 'lemon', 'clary-sage', 'spices'];['geliotrop', 'geranium', 'allspice', 'cinnamon', 'jasmine'];['benzoin', 'tonka-bean', 'kedr', 'ladan', 'musk', 'ambergris', 'vanil'];[];https://aromo.ru/fragrance/procter-a-gamble-old-spice-classic-2339480/
Passione d'Africa;Nature's;Туалетная вода;5,0;2 оценки;;;[];['east', 'gourmet'];['bergamot', 'cinnamon', 'vanil'];['floral-notes'];['vanil'];[];https://aromo.ru/fragrance/natures-passione-d_africa-80266/
Girl Life;Rochas;Парфюмерная вода;5,0;2 оценки;;;[];['floral'];['buton-chernoj-smorodiny', 'mandarin', 'pink-pepper'];['rose', 'tuberoza', 'jasmine'];['white-musk', 'kedr', 'vanil'];['white-musk', 'buton-chernoj-smorodiny', 'pink-pepper', 'tuberoza', 'vanil'];https://aromo.ru/fragrance/rochas-girl-life-perfume-water-eau-de-parfum-2422827/
Dom Rosa Millésimé;Les Liquides Imaginaires;Парфюмерная вода;5,0;2 оценки;;;[];['wood', 'fruit', 'floral', 'gourmet'];['grusha', 'pomelo', 'champagne'];['cloves', 'ladan', 'rose'];['drevesnyje-noty', 'guajak', 'kedr', 'vetiver'];['drevesnyje-noty', 'grusha', 'rose', 'champagne', 'cloves', 'pomelo'];https://aromo.ru/fragrance/les-liquides-imaginaires-dom-rosa-millesime-perfume-water-eau-de-parfum-2420206/
