url;Perfume;Brand;Country;Gender;Year;Top;Middle;Base
https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html;aventhis;in-the-box;Brazil;men;2019;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla
https://www.fragrantica.com/perfume/carolina-herrera/212-heroes-collector-edition-90277.html;212-heroes-collector-edition;carolina-herrera;USA;men;2023;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes
https://www.fragrantica.com/perfume/bohoboco/wild-carrot-oud-74152.html;wild-carrot-oud;bohoboco;Poland;unisex;2022;carrot, cinnamon, bergamot;agarwood (oud), dry wood, cedar, tobacco;earthy notes, leather, styrax
https://www.fragrantica.com/perfume/dzintars/titaniks-20475.html;titaniks;dzintars;Latvia;men;2000;watery notes, bergamot, grapefruit;seaweed, myrtle, iris;pine tree, woody notes, amber
https://www.fragrantica.com/perfume/aaron-terence-hughes/neroli-58431.html;neroli;aaron-terence-hughes;UK;unisex;2019;neroli;jasmine sambac;sandalwood
https://www.fragrantica.com/perfume/brocard/snow-palace-81665.html;snow-palace;brocard;Russia;women;2023;ozonic notes, aquatic notes, aldehydes;white musk, lily of the valley, bergamot;sandalwood, amber
https://www.fragrantica.com/perfume/guerlain/neroli-outrenoir-2024-89177.html;neroli-outrenoir-2024;guerlain;France;unisex;2024;petitgrain, bergamot, lemon, tangerine, grapefruit;tea, neroli, earthy notes, orange blossom, smoke;benzoin, vanilla, ambrette (musk mallow), myrrh, moss
https://www.fragrantica.com/perfume/il-profvmo/santal-rouge-13289.html;santal-rouge;il-profvmo;Italy;men;2011;bitter orange;sandalwood, carnation, red berries;clove, brazilian rosewood
https://www.fragrantica.com/perfume/navitus-parfums/oud-luxuria-60636.html;oud-luxuria;navitus-parfums;UAE;unisex;2019;turkish rose, saffron, leather, red berries, orange, cinnamon;geranium, rose, jasmine, osmanthus;agarwood (oud), incense, musk, labdanum, amber
https://www.fragrantica.com/perfume/diesel/diesel-green-feminine-special-edition-4855.html;diesel-green-feminine-special-edition;diesel;Italy;women;2003;lime, ginger, cinnamon;carnation, orange blossom, jasmine, rose;cedar, sandalwood, amber, musk
https://www.fragrantica.com/perfume/house-of-sillage/whispers-of-temptation-68505.html;whispers-of-temptation;house-of-sillage;USA;unisex;2021;black currant, plum, cardamom;saffron, rose petals, night blooming jasmine;suede, agarwood (oud), australian sandalwood
https://www.fragrantica.com/perfume/zoologist-perfumes/dodo-edition-2020-64003.html;dodo-edition-2020;zoologist-perfumes;Canada;unisex;2020;rosemary, petitgrain, bergamot, pink pepper;black currant, pineapple, clary sage, cardamom;cumin, basil, lavender, musk, geranium, oakmoss, patchouli, tonka bean, oak
https://www.fragrantica.com/perfume/bi-es/oshi-30394.html;oshi;bi-es;Poland;women;;freesia, litchi, peony, pepper;lily-of-the-valley, magnolia, violet root;powdery notes, cedar, white musk
https://www.fragrantica.com/perfume/brocard/spring-bloom-66489.html;spring-bloom;brocard;Russia;unisex;2021;citruses, green notes, watery notes, mint;peony, apple, rose, lily-of-the-valley, plum;musk, woody notes, amber
https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/laaurora-45293.html;laaurora;ricardo-ramos-perfumes-de-autor;Spain;unisex;2017;bergamot, cardamom, violet;turkish rose, atlas cedar, carnation;olibanum, gurjan balsam, cashmere musk
https://www.fragrantica.com/perfume/pokrovka-trading-house/charming-snowdrop-33815.html;charming-snowdrop;pokrovka-trading-house;Russia;women;;freesia, pepper;snowdrops, jasmine, bulgarian rose;incense, sandalwood
https://www.fragrantica.com/perfume/navitus-parfums/desir-infini-81972.html;desir-infini;navitus-parfums;UAE;unisex;2023;italian lemon, red fruits;geranium, saffron;woodsy notes, oud, leather, smoke, amber
https://www.fragrantica.com/perfume/franck-boclet/cafe-55432.html;cafe;franck-boclet;France;unisex;2019;coffee, bergamot, lemon;lily, rosemary, orange blossom, rose;moss, patchouli, sandalwood, vanilla, amber, cedar, vetiver
https://www.fragrantica.com/perfume/paco-rabanne/1-million-23908.html;1-million;paco-rabanne;Spain;men;2014;blood orange, grapefruit, mint;cinnamon, spices, rose;leather, amber, white woods, patchouli
https://www.fragrantica.com/perfume/brocard/erato-46550.html;erato;brocard;Russia;women;2017;coriander, lemon, orange;strawberry, violet, spun sugar, raspberry;vanilla, musk, sandalwood, palisander rosewood, tolu balsam, amber
https://www.fragrantica.com/perfume/dior/new-look-2024-88939.html;new-look-2024;dior;France;unisex;2024;aldehydes;frankincense;amber
https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/morayma-45155.html;morayma;ricardo-ramos-perfumes-de-autor;Spain;women;2016;fig leaf, guava, coriander, grapefruit;gardenia, jasmine, magnolia, chamomile, narcissus;musk, hay, orris root
https://www.fragrantica.com/perfume/franck-boclet/flowers-49354.html;flowers;franck-boclet;France;unisex;2018;basil, lime, bergamot;lily-of-the-valley, neroli, tuberose, rose;ylang-ylang, musk, sandalwood
https://www.fragrantica.com/perfume/filippo-sorcinelli/popper-pop-67617.html;popper-pop;filippo-sorcinelli;Italy;unisex;2021;sweet almond, red apple, mint, nashi pear;orchid, magnolia, davana, pitosporum;woody notes
https://www.fragrantica.com/perfume/dilis-parfum/kaorishiro-30878.html;kaorishiro;dilis-parfum;Turkey;women;2013;lemon verbena, jasmine;hyacinth, musk, lemon;galbanum, cedar, moss
https://www.fragrantica.com/perfume/brocard/lesnaa-malina-i-dusica-wild-raspberries-and-oregano-66486.html;lesnaa-malina-i-dusica-wild-raspberries-and-oregano;brocard;Russia;women;2021;raspberry, watery notes, wild strawberry;rose hip, violet;caramel, musk, oakmoss
https://www.fragrantica.com/perfume/faberlic/collection-privee-brise-d-amour-19321.html;collection-privee-brise-d-amour;faberlic;Russia;women;2003;neroli, rose hip, pineapple, green apple, jasmine, galbanum;freesia, iris, lily, lily-of-the-valley, rose;musk, amber, vanilla, apricot
https://www.fragrantica.com/perfume/laura-biagiotti/roma-eau-de-toilette-rosa-46174.html;roma-eau-de-toilette-rosa;laura-biagiotti;Italy;women;2017;wild berries, bergamot;rose, jasmine, peony, neroli;vanilla, musk, sandalwood
https://www.fragrantica.com/perfume/molinard/campus-75864.html;campus;molinard;France;unisex;2022;pineapple, apple, lemon;geranium, lavender, sandalwood;patchouli, amberwood, musk
https://www.fragrantica.com/perfume/miguel-matos/veneno-50252.html;veneno;miguel-matos;Portugal;unisex;2018;narcissus, cypriol oil or nagarmotha, saffron, osmanthus;cade oil, civet, patchouli, lily-of-the-valley, amber, rose;peru balsam, costus, musk, ambrette (musk mallow), oakmoss, tonka bean
https://www.fragrantica.com/perfume/filippo-sorcinelli/slightly-b-tch-67618.html;slightly-b-tch;filippo-sorcinelli;Italy;unisex;2021;leather, clementine, mint, bitter orange, green almond;ylang-ylang, artemisia, hawthorn, labdanum;cedar, pine tree
https://www.fragrantica.com/perfume/faberlic/souvenir-19306.html;souvenir;faberlic;Russia;women;2003;freesia, raspberry, litchi;lily-of-the-valley, lily, jasmine, ylang-ylang, rose, peony;patchouli, white musk
https://www.fragrantica.com/perfume/avon/love-pulse-22328.html;love-pulse;avon;USA;women;2013;carambola (star fruit);rose;musk, cedar
